open_time_ms,open,high,low,close,volume
1784217600000,64677.70,64687.60,63958.00,64241.60,18183.263
1784232000000,64241.70,64249.90,63712.60,63801.00,12576.221
1784246400000,63801.10,64041.60,63358.00,63538.10,23701.404
1784260800000,63538.00,63560.00,62655.00,62792.90,36223.336
1784275200000,62792.80,63337.40,62611.00,63273.20,20640.395
1784289600000,63273.10,63496.00,62505.10,63432.40,42264.100
1784304000000,63432.40,64356.70,63272.40,64121.40,34857.577
1784318400000,64121.40,64188.20,63860.00,63909.90,8166.001
1784332800000,63909.90,64014.90,63859.60,63989.50,5338.834
1784347200000,63989.50,64000.00,63894.30,63980.10,4328.088
1784361600000,63980.00,64073.20,63912.00,64033.30,4092.098
1784376000000,64033.20,64237.70,63925.20,64090.00,9810.671
1784390400000,64090.00,64666.00,64054.50,64526.30,15262.257
1784404800000,64526.40,64837.40,64467.20,64806.70,10394.790
1784419200000,64806.70,64948.80,64594.60,64686.80,13515.109
1784433600000,64686.80,64789.80,64580.40,64692.20,5846.715
1784448000000,64692.10,64723.50,64415.00,64445.70,10691.700
1784462400000,64445.70,64633.00,64259.50,64545.20,11251.478
1784476800000,64545.30,64733.00,64262.90,64438.10,9954.822
1784491200000,64438.10,64874.90,64305.00,64694.70,11535.206
1784505600000,64694.80,65084.60,64380.00,64839.40,22717.146
